Rank,Player,Nationality,Metric,Stat
7,Héctor Bellerín,Spain,Hit Woodwork,0
7,Joe Willock,England,Hit Woodwork,0
7,Konstantinos Mavropanos,Greece,Hit Woodwork,0
7,Laurent Koscielny,France,Hit Woodwork,0
7,Matteo Guendouzi,France,Hit Woodwork,0
7,Mohamed Elneny,Egypt,Hit Woodwork,0
7,Nacho Monreal,Spain,Hit Woodwork,0
7,Petr Cech,Czech Republic,Hit Woodwork,0
7,Rob Holding,England,Hit Woodwork,0
7,Sead Kolasinac,Bosnia And Herzegovina,Hit Woodwork,0
7,Sokratis,Greece,Hit Woodwork,0
7,Stephan Lichtsteiner,Switzerland,Hit Woodwork,0
1,Bernd Leno,Germany,Minutes Played,2835
2,Pierre-Emerick Aubameyang,Gabon,Minutes Played,2731
3,Shkodran Mustafi,Germany,Minutes Played,2615
4,Alexandre Lacazette,France,Minutes Played,2505
5,Granit Xhaka,Switzerland,Minutes Played,2501
6,Lucas Torreira,Uruguay,Minutes Played,2379
7,Sokratis,Greece,Minutes Played,2199
8,Matteo Guendouzi,France,Minutes Played,2142
9,Alex Iwobi,Nigeria,Minutes Played,1972
10,Sead Kolasinac,Bosnia And Herzegovina,Minutes Played,1890
11,Nacho Monreal,Spain,Minutes Played,1861
12,Mesut Özil,Germany,Minutes Played,1741
13,Henrikh Mkhitaryan,Armenia,Minutes Played,1644
14,Héctor Bellerín,Spain,Minutes Played,1533
15,Laurent Koscielny,France,Minutes Played,1330
16,Aaron Ramsey,Wales,Minutes Played,1328
17,Ainsley Maitland-Niles,England,Minutes Played,986
18,Stephan Lichtsteiner,Switzerland,Minutes Played,940
19,Rob Holding,England,Minutes Played,807
20,Petr Cech,Czech Republic,Minutes Played,585
21,Mohamed Elneny,Egypt,Minutes Played,379
22,Carl Jenkinson,England,Minutes Played,165
23,Konstantinos Mavropanos,Greece,Minutes Played,149
24,Danny Welbeck,England,Minutes Played,147
25,Denis Suárez,Spain,Minutes Played,67
26,Joe Willock,England,Minutes Played,64
27,Eddie Nketiah,England,Minutes Played,63
28,Bukayo Saka,England,Minutes Played,7
1,Alexandre Lacazette,France,Offsides,24
2,Pierre-Emerick Aubameyang,Gabon,Offsides,23
3,Mesut Özil,Germany,Offsides,10
3,Sead Kolasinac,Bosnia And Herzegovina,Offsides,10
5,Aaron Ramsey,Wales,Offsides,4
5,Shkodran Mustafi,Germany,Offsides,4
7,Henrikh Mkhitaryan,Armenia,Offsides,3
8,Alex Iwobi,Nigeria,Offsides,2
8,Eddie Nketiah,England,Offsides,2
8,Stephan Lichtsteiner,Switzerland,Offsides,2
11,Ainsley Maitland-Niles,England,Offsides,1
11,Granit Xhaka,Switzerland,Offsides,1
11,Héctor Bellerín,Spain,Offsides,1
11,Mohamed Elneny,Egypt,Offsides,1
11,Nacho Monreal,Spain,Offsides,1
16,Denis Suárez,Spain,Offsides,0
17,Bernd Leno,Germany,Offsides,0
17,Bukayo Saka,England,Offsides,0
17,Carl Jenkinson,England,Offsides,0
17,Danny Welbeck,England,Offsides,0
17,Joe Willock,England,Offsides,0
17,Konstantinos Mavropanos,Greece,Offsides,0
17,Laurent Koscielny,France,Offsides,0
17,Lucas Torreira,Uruguay,Offsides,0
17,Matteo Guendouzi,France,Offsides,0
17,Petr Cech,Czech Republic,Offsides,0
17,Rob Holding,England,Offsides,0
17,Sokratis,Greece,Offsides,0
1,Héctor Bellerín,Spain,Own Goal,1
2,Sead Kolasinac,Bosnia And Herzegovina,Own Goal,0
3,Aaron Ramsey,Wales,Own Goal,0
3,Ainsley Maitland-Niles,England,Own Goal,0
3,Alex Iwobi,Nigeria,Own Goal,0
3,Alexandre Lacazette,France,Own Goal,0
3,Bernd Leno,Germany,Own Goal,0
3,Bukayo Saka,England,Own Goal,0
3,Carl Jenkinson,England,Own Goal,0
3,Danny Welbeck,England,Own Goal,0
3,Denis Suárez,Spain,Own Goal,0
3,Eddie Nketiah,England,Own Goal,0
3,Granit Xhaka,Switzerland,Own Goal,0
3,Henrikh Mkhitaryan,Armenia,Own Goal,0
3,Joe Willock,England,Own Goal,0
3,Konstantinos Mavropanos,Greece,Own Goal,0
3,Laurent Koscielny,France,Own Goal,0
3,Lucas Torreira,Uruguay,Own Goal,0
3,Matteo Guendouzi,France,Own Goal,0
3,Mesut Özil,Germany,Own Goal,0
3,Mohamed Elneny,Egypt,Own Goal,0
3,Nacho Monreal,Spain,Own Goal,0
3,Petr Cech,Czech Republic,Own Goal,0
3,Pierre-Emerick Aubameyang,Gabon,Own Goal,0
3,Rob Holding,England,Own Goal,0
3,Shkodran Mustafi,Germany,Own Goal,0
3,Sokratis,Greece,Own Goal,0
3,Stephan Lichtsteiner,Switzerland,Own Goal,0
1,Granit Xhaka,Switzerland,Passes,2245
2,Shkodran Mustafi,Germany,Passes,1765
3,Matteo Guendouzi,France,Passes,1598
4,Lucas Torreira,Uruguay,Passes,1590
5,Sokratis,Greece,Passes,1387
6,Nacho Monreal,Spain,Passes,1168
7,Mesut Özil,Germany,Passes,1118
8,Sead Kolasinac,Bosnia And Herzegovina,Passes,971
9,Alex Iwobi,Nigeria,Passes,951
10,Bernd Leno,Germany,Passes,922
11,Laurent Koscielny,France,Passes,891
12,Henrikh Mkhitaryan,Armenia,Passes,796
13,Héctor Bellerín,Spain,Passes,785
14,Aaron Ramsey,Wales,Passes,773
15,Alexandre Lacazette,France,Passes,771
16,Pierre-Emerick Aubameyang,Gabon,Passes,692
17,Rob Holding,England,Passes,614
18,Stephan Lichtsteiner,Switzerland,Passes,480
19,Ainsley Maitland-Niles,England,Passes,451
20,Mohamed Elneny,Egypt,Passes,278
21,Petr Cech,Czech Republic,Passes,224
22,Konstantinos Mavropanos,Greece,Passes,137
23,Carl Jenkinson,England,Passes,75
24,Danny Welbeck,England,Passes,54
25,Denis Suárez,Spain,Passes,34
26,Eddie Nketiah,England,Passes,20
27,Joe Willock,England,Passes,15
28,Bukayo Saka,England,Passes,0
1,Bernd Leno,Germany,Punches,16
2,Petr Cech,Czech Republic,Punches,2
3,Aaron Ramsey,Wales,Punches,0
3,Ainsley Maitland-Niles,England,Punches,0
3,Alex Iwobi,Nigeria,Punches,0
3,Alexandre Lacazette,France,Punches,0
3,Bukayo Saka,England,Punches,0
3,Carl Jenkinson,England,Punches,0
3,Danny Welbeck,England,Punches,0
3,Denis Suárez,Spain,Punches,0
3,Eddie Nketiah,England,Punches,0
3,Granit Xhaka,Switzerland,Punches,0
3,Héctor Bellerín,Spain,Punches,0
3,Henrikh Mkhitaryan,Armenia,Punches,0
3,Joe Willock,England,Punches,0
3,Konstantinos Mavropanos,Greece,Punches,0
3,Laurent Koscielny,France,Punches,0
3,Lucas Torreira,Uruguay,Punches,0
3,Matteo Guendouzi,France,Punches,0
3,Mesut Özil,Germany,Punches,0
3,Mohamed Elneny,Egypt,Punches,0
3,Nacho Monreal,Spain,Punches,0
3,Pierre-Emerick Aubameyang,Gabon,Punches,0
3,Rob Holding,England,Punches,0
3,Sead Kolasinac,Bosnia And Herzegovina,Punches,0
3,Shkodran Mustafi,Germany,Punches,0
3,Sokratis,Greece,Punches,0
3,Stephan Lichtsteiner,Switzerland,Punches,0
1,Ainsley Maitland-Niles,England,Red Cards,1
1,Lucas Torreira,Uruguay,Red Cards,1
2,Aaron Ramsey,Wales,Red Cards,0
2,Alex Iwobi,Nigeria,Red Cards,0
2,Alexandre Lacazette,France,Red Cards,0
2,Bernd Leno,Germany,Red Cards,0
2,Bukayo Saka,England,Red Cards,0
2,Carl Jenkinson,England,Red Cards,0
2,Danny Welbeck,England,Red Cards,0
2,Denis Suárez,Spain,Red Cards,0
2,Eddie Nketiah,England,Red Cards,0
2,Granit Xhaka,Switzerland,Red Cards,0
2,Héctor Bellerín,Spain,Red Cards,0
2,Henrikh Mkhitaryan,Armenia,Red Cards,0
2,Joe Willock,England,Red Cards,0
2,Konstantinos Mavropanos,Greece,Red Cards,0
2,Laurent Koscielny,France,Red Cards,0
2,Matteo Guendouzi,France,Red Cards,0
2,Mesut Özil,Germany,Red Cards,0
2,Mohamed Elneny,Egypt,Red Cards,0
2,Nacho Monreal,Spain,Red Cards,0
2,Petr Cech,Czech Republic,Red Cards,0
2,Pierre-Emerick Aubameyang,Gabon,Red Cards,0
2,Rob Holding,England,Red Cards,0
